item_name;description;veg_comment;price;category;comment;size_comment;price_comment;file_name;menu_link;restaurant_name;menu_type;int_id;update_time
MIXED NUTS;;V, N;4;BITES;;;An optional service charge of 12.5% will be added to your bill // Prices are inclusive of VAT.;AdoreRemoMenuSep18.pdf;https://www.adoreremo.co.uk/wp-content/uploads/2016/09/AdoreRemoMenuSep18.pdf;Adore Remo;Main;0;20Nov2018
OLIVES MARINATED WITH HERBS;;V;4;BITES;;;An optional service charge of 12.5% will be added to your bill // Prices are inclusive of VAT.;AdoreRemoMenuSep18.pdf;https://www.adoreremo.co.uk/wp-content/uploads/2016/09/AdoreRemoMenuSep18.pdf;Adore Remo;Main;0;20Nov2018
SOUP OF THE DAY ;;;6;STARTERS;;;An optional service charge of 12.5% will be added to your bill // Prices are inclusive of VAT.;AdoreRemoMenuSep18.pdf;https://www.adoreremo.co.uk/wp-content/uploads/2016/09/AdoreRemoMenuSep18.pdf;Adore Remo;Main;0;05Dec2018
MINI ARANCINI WITH MUSHROOM, TRUFFLE & PUMPKIN DIP;;V;6;STARTERS;;;An optional service charge of 12.5% will be added to your bill // Prices are inclusive of VAT.;AdoreRemoMenuSep18.pdf;https://www.adoreremo.co.uk/wp-content/uploads/2016/09/AdoreRemoMenuSep18.pdf;Adore Remo;Main;0;05Dec2018
CALAMARI RINGS WITH PAPRIKA MAYO;;;7;STARTERS;;;An optional service charge of 12.5% will be added to your bill // Prices are inclusive of VAT.;AdoreRemoMenuSep18.pdf;https://www.adoreremo.co.uk/wp-content/uploads/2016/09/AdoreRemoMenuSep18.pdf;Adore Remo;Main;0;05Dec2018
CAPRESE BURRATA WITH TOMATO, BASIL & PESTO;;V;9;STARTERS;;;An optional service charge of 12.5% will be added to your bill // Prices are inclusive of VAT.;AdoreRemoMenuSep18.pdf;https://www.adoreremo.co.uk/wp-content/uploads/2016/09/AdoreRemoMenuSep18.pdf;Adore Remo;Main;0;05Dec2018
PECORINO TRUFFLE HONEY WITH PANE CARASAU;;V;9;STARTERS;;;An optional service charge of 12.5% will be added to your bill // Prices are inclusive of VAT.;AdoreRemoMenuSep18.pdf;https://www.adoreremo.co.uk/wp-content/uploads/2016/09/AdoreRemoMenuSep18.pdf;Adore Remo;Main;0;05Dec2018
SMOKED TUNA CARPACCIO;;;10;STARTERS;;;An optional service charge of 12.5% will be added to your bill // Prices are inclusive of VAT.;AdoreRemoMenuSep18.pdf;https://www.adoreremo.co.uk/wp-content/uploads/2016/09/AdoreRemoMenuSep18.pdf;Adore Remo;Main;0;05Dec2018
BEEF TARTARE WITH TRUFFLE OIL;;;10;STARTERS;;;An optional service charge of 12.5% will be added to your bill // Prices are inclusive of VAT.;AdoreRemoMenuSep18.pdf;https://www.adoreremo.co.uk/wp-content/uploads/2016/09/AdoreRemoMenuSep18.pdf;Adore Remo;Main;0;05Dec2018
MOZZARELLA & PROSCIUTTO;;;10;STARTERS;;;An optional service charge of 12.5% will be added to your bill // Prices are inclusive of VAT.;AdoreRemoMenuSep18.pdf;https://www.adoreremo.co.uk/wp-content/uploads/2016/09/AdoreRemoMenuSep18.pdf;Adore Remo;Main;0;05Dec2018
